id,prophetId,date,startTime,endTime,createdAt,updatedAt
21,0995a57b-c3e8-45,2025-07-05T00:00:00.000Z,2025-07-05T09:00:00+00:00,2025-07-05T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
22,dbaf1e9a-b5ad-4a,2025-04-01T00:00:00.000Z,2025-04-01T09:00:00+00:00,2025-04-01T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
23,bb9c160b-e4ed-40,2025-08-21T00:00:00.000Z,2025-08-21T09:00:00+00:00,2025-08-21T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
24,8f06ddef-e56e-48,2025-04-23T00:00:00.000Z,2025-04-23T09:00:00+00:00,2025-04-23T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
25,775eb8e4-827a-40,2025-07-27T00:00:00.000Z,2025-07-27T09:00:00+00:00,2025-07-27T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
26,eb5e1dc2-8560-45,2025-02-23T00:00:00.000Z,2025-02-23T09:00:00+00:00,2025-02-23T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
27,1c01e244-8737-4e,2025-05-23T00:00:00.000Z,2025-05-23T09:00:00+00:00,2025-05-23T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
28,1c01e244-8737-4e,2025-02-01T00:00:00.000Z,2025-02-01T09:00:00+00:00,2025-02-01T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
29,b769f53c-797a-43,2025-02-09T00:00:00.000Z,2025-02-09T09:00:00+00:00,2025-02-09T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
30,91a9b07a-2973-40,2025-04-03T00:00:00.000Z,2025-04-03T09:00:00+00:00,2025-04-03T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
31,80f5cc73-3c93-4b,2025-05-28T00:00:00.000Z,2025-05-28T09:00:00+00:00,2025-05-28T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
32,e0d40a55-a688-43,2025-06-28T00:00:00.000Z,2025-06-28T09:00:00+00:00,2025-06-28T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
33,74cf402d-206b-47,2025-05-02T00:00:00.000Z,2025-05-02T09:00:00+00:00,2025-05-02T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
34,dbaf1e9a-b5ad-4a,2025-01-23T00:00:00.000Z,2025-01-23T09:00:00+00:00,2025-01-23T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
35,dbaf1e9a-b5ad-4a,2025-05-15T00:00:00.000Z,2025-05-15T09:00:00+00:00,2025-05-15T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
36,33775066-5b47-42,2025-05-15T00:00:00.000Z,2025-05-15T09:00:00+00:00,2025-05-15T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
37,e3d2432d-36f6-4f,2025-04-30T00:00:00.000Z,2025-04-30T09:00:00+00:00,2025-04-30T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
38,297b01a8-ae19-49,2025-06-19T00:00:00.000Z,2025-06-19T09:00:00+00:00,2025-06-19T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
39,dbaf1e9a-b5ad-4a,2025-06-01T00:00:00.000Z,2025-06-01T09:00:00+00:00,2025-06-01T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
40,34cf4095-f3be-4b,2025-05-04T00:00:00.000Z,2025-05-04T09:00:00+00:00,2025-05-04T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
41,dbaf1e9a-b5ad-4a,2025-05-08T00:00:00.000Z,2025-05-08T09:00:00+00:00,2025-05-08T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
42,63ab9ec4-51b3-46,2025-06-02T00:00:00.000Z,2025-06-02T09:00:00+00:00,2025-06-02T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
43,1350d4e9-0a09-42,2025-04-09T00:00:00.000Z,2025-04-09T09:00:00+00:00,2025-04-09T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
44,1449e60f-4d10-47,2025-05-02T00:00:00.000Z,2025-05-02T09:00:00+00:00,2025-05-02T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
45,16d2ccdd-cff6-41,2025-04-20T00:00:00.000Z,2025-04-20T09:00:00+00:00,2025-04-20T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
46,63ab9ec4-51b3-46,2025-01-05T00:00:00.000Z,2025-01-05T09:00:00+00:00,2025-01-05T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
47,1449e60f-4d10-47,2025-03-01T00:00:00.000Z,2025-03-01T09:00:00+00:00,2025-03-01T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
48,f274a454-719b-49,2025-05-23T00:00:00.000Z,2025-05-23T09:00:00+00:00,2025-05-23T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
49,fed38bed-3bbe-49,2025-05-10T00:00:00.000Z,2025-05-10T09:00:00+00:00,2025-05-10T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
50,7c15ac37-93a4-4b,2025-02-17T00:00:00.000Z,2025-02-17T09:00:00+00:00,2025-02-17T17:00:00+00:00,2025-08-23T15:31:25.512469+00:00,2025-08-23T15:31:25.512469+00:00
